user_id,game,hours,appid,release_date,bayesian_rating,hours_category
151603712,The Elder Scrolls V Skyrim,273.0,72850,2011-11-10,9.396484228151447,10
151603712,Fallout 4,87.0,377160,2015-11-09,7.08705536808554,9
151603712,Fallout New Vegas,12.1,22380,2010-10-21,9.508545821696693,4
151603712,Left 4 Dead 2,8.9,550,2009-11-19,9.664749799642676,3
151603712,HuniePop,8.5,339800,2015-01-19,9.462978083240785,3
151603712,Path of Exile,8.1,238960,2013-10-23,9.181081400631912,3
151603712,Poly Bridge,7.5,367450,2016-07-12,8.518037955956231,3
151603712,Left 4 Dead,3.3,500,2008-11-17,9.356535122593066,2
151603712,Team Fortress 2,2.8,440,2007-10-10,9.376149734398636,2
151603712,Tomb Raider,2.5,203160,2013-03-04,9.549798090670876,2
151603712,The Banner Saga,2.0,237990,2014-01-14,8.77858029993389,2
151603712,BioShock Infinite,1.3,8870,2013-03-25,9.503896496514816,2
151603712,Dragon Age Origins - Ultimate Edition,1.3,47810,2010-10-29,9.002357647600686,2
151603712,Grand Theft Auto IV,0.6,12210,2008-12-02,6.51991292236859,1
151603712,Realm of the Mad God,0.5,200210,2012-02-20,8.27142651097603,1
151603712,Eldevin,0.5,298160,2014-11-05,7.514243788711258,1
151603712,Dota 2,0.5,570,2013-07-09,8.58536608425643,1
151603712,Robocraft,0.4,301520,2017-08-24,7.216301005642246,1
151603712,Garry's Mod,0.1,4000,2006-11-29,9.56002696846028,1
187131847,Dota 2,2.3,570,2013-07-09,8.58536608425643,2
59945701,Ultra Street Fighter IV,238.0,45760,2014-08-07,8.597113301166889,10
59945701,FINAL FANTASY XIII,84.0,292120,2014-10-09,7.167375905010191,9
59945701,The Elder Scrolls V Skyrim,58.0,72850,2011-11-10,9.396484228151447,8
59945701,Sid Meier's Civilization V,22.0,8930,2010-09-23,9.564744410000078,6
59945701,L.A. Noire,13.8,110800,2011-11-08,8.49000841852458,4
59945701,Company of Heroes Tales of Valor,10.2,20540,2009-04-08,8.312998891372997,4
59945701,7 Days to Die,7.8,251570,2013-12-13,7.811752753729811,3
59945701,Divekick,7.0,244730,2013-08-20,7.881130811072068,3
59945701,FINAL FANTASY VII,5.2,39140,2013-07-04,9.11376464061908,3
59945701,Orcs Must Die! 2,4.8,201790,2012-07-30,9.324303849940195,2
59945701,Killing Floor,3.4,1250,2009-05-14,9.4797599115753,2
59945701,Company of Heroes,3.2,228200,2006-09-11,8.427187216460423,2
59945701,Bastion,2.8,107100,2011-08-16,9.521782000044,2
59945701,Undertale,2.6,391540,2015-09-15,9.532347395616444,2
59945701,Counter-Strike Global Offensive,2.3,730,2012-08-21,8.6789093143997,2
59945701,Orcs Must Die!,0.7,102600,2011-10-11,9.22213509444418,1
59945701,THE KING OF FIGHTERS XIII STEAM EDITION,0.6,222940,2013-09-13,8.540157088434912,1
59945701,GUILTY GEAR XX ACCENT CORE PLUS R,0.5,348550,2015-05-26,7.875719880041906,1
59945701,Skullgirls,0.4,245170,2013-08-22,9.275709013738592,1
59945701,Company of Heroes Opposing Fronts,0.1,9340,2007-09-24,7.840219058283528,1
59945701,Team Fortress 2,0.1,440,2007-10-10,9.376149734398636,1
53875128,Grand Theft Auto V,86.0,271590,2015-04-13,7.025986263826763,9
53875128,Insurgency,72.0,222880,2014-01-22,9.03855385954432,8
53875128,Left 4 Dead 2,71.0,550,2009-11-19,9.664749799642676,8
53875128,METAL GEAR SOLID V THE PHANTOM PAIN,59.0,287700,2015-09-01,8.817187736990798,8
53875128,S.T.A.L.K.E.R. Shadow of Chernobyl,54.0,4500,2007-03-20,9.285491722198817,8
53875128,S.T.A.L.K.E.R. Call of Pripyat,50.0,41700,2010-02-11,9.311564462844562,8
53875128,Saints Row The Third,35.0,55230,2011-11-17,9.535882769345044,7
53875128,Far Cry 3,35.0,220240,2012-11-28,8.877444851612875,7
53875128,S.T.A.L.K.E.R. Clear Sky,35.0,20510,2008-09-15,8.37044197620578,7
53875128,Rocket League,34.0,252950,2015-07-07,9.16555018776791,7
53875128,Far Cry 4,32.0,298110,2014-12-01,7.791939374536435,7
53875128,Prototype,25.0,10150,2009-06-12,7.851413184816875,7
53875128,Space Pirates and Zombies,24.0,107200,2011-08-15,8.530279385796124,6
53875128,Dying Light,23.0,239140,2015-01-26,9.237897839305475,6
53875128,Just Cause 2,23.0,8190,2010-03-23,9.060619392154424,6
53875128,Mirror's Edge,23.0,17410,2009-01-14,8.746296682776991,6
53875128,Mad Max,22.0,234140,2015-09-01,8.992104180961059,6
53875128,Portal 2,21.0,620,2011-04-18,9.84170445843356,6
53875128,RUNNING WITH RIFLES,18.5,270150,2015-04-02,8.486953107070317,5
53875128,Deus Ex Human Revolution - Director's Cut,18.3,238010,2013-10-25,8.980524166922548,5
53875128,Tropico 4,14.3,57690,2011-09-01,8.911712587383857,4
53875128,Cave Story+,13.7,200900,2011-11-22,9.122114578218564,4
53875128,Dust An Elysian Tail,13.4,236090,2013-05-24,9.42543439313074,4
53875128,F.E.A.R.,12.5,21090,2010-05-21,9.022482485703865,4
53875128,South Park The Stick of Truth,12.2,213670,2014-03-06,9.669355509770458,4
53875128,Watch_Dogs,11.2,243470,2014-05-26,6.746219631169605,4
53875128,Saints Row IV,11.1,206420,2013-08-22,9.121785219686569,4
53875128,DayZ,11.0,221100,2018-12-13,6.061548919496625,4
53875128,Half-Life 2,10.2,220,2004-11-16,9.613454436280367,4
53875128,Reassembly,10.1,329130,2015-02-19,8.575186535229703,4
53875128,Sid Meier's Civilization III Complete,9.8,3910,2006-10-25,8.209645726121323,3
53875128,The Talos Principle,9.8,257510,2014-12-11,9.41194077499855,3
53875128,FTL Faster Than Light,9.7,212680,2012-09-14,9.565745656007348,3
53875128,Bastion,9.6,107100,2011-08-16,9.521782000044,3
53875128,Gunpoint,8.6,206190,2013-06-03,9.480008243788156,3
53875128,Rebuild 3 Gangs of Deadsville,8.4,257170,2015-05-29,7.78963609489972,3
53875128,Recettear An Item Shop's Tale,8.3,70400,2010-09-10,9.17871882703635,3
53875128,Fallout New Vegas,7.5,22380,2010-10-21,9.508545821696693,3
53875128,Overgrowth,7.3,25000,2017-10-16,7.099640965735079,3
53875128,Burnout Paradise The Ultimate Box,6.6,24740,2009-03-12,8.526243164826802,3
53875128,Game Dev Tycoon,6.4,239820,2013-08-29,9.406391185043807,3
53875128,Sniper Elite 3,6.2,238090,2014-06-27,7.887598054146431,3
53875128,Gratuitous Space Battles,6.0,41800,2009-11-16,7.273005676021222,3
53875128,Sid Meier's Civilization V,5.9,8930,2010-09-23,9.564744410000078,3
53875128,Rogue Legacy,5.7,241600,2013-06-27,9.198806613328957,3
53875128,Plague Inc Evolved,5.6,246620,2016-02-18,9.22284693238376,3
53875128,From Dust,5.6,33460,2011-08-17,6.696717644863628,3
53875128,Rivals of Aether,5.5,383980,2017-03-28,8.462369314868806,3
53875128,Half-Life 2 Episode Two,5.5,420,2007-10-10,9.34087794998822,3
53875128,Rise of Nations Extended Edition,5.2,287450,2014-06-12,8.797264102420165,3
53875128,Nidhogg,4.9,94400,2014-01-13,8.518042122675514,2
53875128,Spec Ops The Line,4.4,50300,2012-06-28,9.182261264283266,2
53875128,Dishonored,4.3,205100,2012-10-11,9.634903648809985,2
53875128,Half-Life 2 Episode One,4.2,380,2006-06-01,9.104422406464082,2
53875128,Wolfenstein The New Order,4.0,201810,2014-05-19,8.915326313196676,2
53875128,Distance,4.0,233610,2018-09-18,8.859371982947707,2
53875128,Epic Battle Fantasy 4,4.0,265610,2014-02-25,8.772860741514796,2
53875128,Miasmata,3.4,223510,2012-11-28,7.399536736751191,2
53875128,Dead Space,3.3,17470,2009-01-09,8.77593857992991,2
53875128,Hotline Miami,3.2,219150,2012-10-23,9.677169220827516,2
53875128,NOT A HERO,3.0,274270,2015-05-14,8.084285185325427,2
53875128,Receiver,2.9,234190,2013-04-29,7.703913944990535,2
53875128,Crypt of the NecroDancer,2.8,247080,2015-04-23,9.447366764438351,2
53875128,Portal,2.8,400,2007-10-10,9.73636544950651,2
53875128,F.E.A.R. 2 Project Origin,2.8,16450,2009-02-12,8.288178395762918,2
53875128,NaissanceE,2.7,265690,2014-02-13,7.477560066005741,2
53875128,SteamWorld Dig,2.6,252410,2013-12-05,8.830431320638084,2
53875128,Kairo,2.5,233230,2013-04-24,7.301503136517296,2
53875128,SNOW,2.5,244930,2019-02-14,6.6395966238796245,2
53875128,The Binding of Isaac,2.4,113200,2011-09-28,9.51057445478315,2
53875128,METAL GEAR RISING REVENGEANCE,2.2,235460,2014-01-09,9.065895530315773,2
53875128,Starpoint Gemini 2,2.0,236150,2014-09-26,7.021379300093904,2
53875128,The Vanishing of Ethan Carter,1.9,258520,2014-09-25,8.668900573836783,2
